218/10880 1,34 1
041/02001 1,40 2
281/14043 1,53 3
108/05359 45,93 4
271/13527 1,42 5
110/05459 1,48 6
199/09940 59,107 7
263/13144 46,83 8
084/04190 1,39 9
108/05358 1,59 10
079/03924 24,41 11
079/03934 60,100 12
205/10218 99,130 13
205/10215 1,30 14
134/06657 1,49 15
152/07587 1,76 16
201/10035 1,33 17
202/10066 1,42 18
114/05659 1,38 19
041/02005 36,73 20
115/05725 1,56 21
201/10035 132,159 22
134/06653 1,38 23
201/10036 59,113 24
084/04194 36,60 25
235/11726 51,94 26
124/06186 32,64 27
262/13063 1,50 28
107/05332 46,92 29
201/10031 20,44 30
107/05335 1,30 31
110/05451 52,94 32
152/07560 29,46 33
134/06658 50,86 34
084/04193 1,53 35
024/01159 1,79 36
263/13144 1,45 37
224/11194 94,197 38
224/11199 53,98 39
273/13630 47,75 40
108/05352 1,75 41
222/11052 106,142 42
201/10035 34,76 43
226/11292 137,192 44
107/05338 1,49 45
114/05651 1,29 46
107/05337 1,43 47
263/13147 136,177 48
202/10086 1,26 49
038/01882 104,188 50
040/01956 1,22 51
110/05458 59,82 52
107/05339 1,52 53
270/13486 1,99 54
024/01154 1,25 55
253/12609 44,89 56
222/11051 1,51 57
263/13146 82,117 58
038/01886 1,60 59
038/01887 1,45 60
108/05356 35,70 61
271/13521 1,35 62
110/05472 1,25 63
038/01880 1,42 64
270/13486 162,270 65
271/13525 1,30 66
261/13022 79,122 67
248/12389 1,35 68
042/02066 41,116 69
259/12946 1,27 70
110/05452 34,71 71
134/06656 1,78 72
084/04199 1,45 73
203/10121 1,35 74
134/06652 42,87 75
134/06654 1,39 76
235/11725 1,37 77
038/01885 1,54 78
226/11290 96,148 79
134/06653 39,88 80
101/05012 135,172 81
052/02582 91,125 82
257/12850 48,78 83
201/10033 32,163 84
152/07584 1,55 85
107/05332 1,45 86
110/05451 1,51 87
134/06654 40,75 88
152/07587 211,302 89
107/05339 53,89 90
205/10218 1,36 91
038/01889 1,49 92
271/13537 1,57 93
202/10060 1,34 94
222/11052 50,105 95
263/13146 1,39 96
222/11052 143,188 97
110/05453 1,50 98
252/12595 94,128 99
205/10215 108,139 100
259/12947 67,91 101
273/13630 1,46 102
202/10065 118,191 103
271/13524 1,45 104
194/09696 90,126 105
114/05656 165,229 106
270/13486 100,161 107
271/13523 41,80 108
203/10122 1,33 109
108/05351 1,37 110
124/06186 1,31 111
110/05457 57,150 112
224/11192 1,41 113
208/10380 143,192 114
107/05330 95,145 115
199/09944 1,99 116
271/13509 44,67 117
241/12034 1,33 118
110/05458 1,31 119
224/11190 1,22 120
114/05656 46,77 121
024/01157 68,93 122
163/08140 1,27 123
114/05658 1,33 124
038/01884 1,62 125
281/14047 42,66 126
007/00326 1,71 127
208/10388 38,73 128
271/13522 1,33 129
208/10388 74,131 130
056/02767 44,88 131
115/05728 1,73 132
110/05456 1,46 133
174/08699 1,31 134
201/10039 123,160 135
271/13525 64,100 136
134/06655 106,148 137
281/14046 23,43 138
224/11198 1,31 139
152/07587 303,357 140
281/14042 1,45 141
235/11723 1,40 142
134/06651 1,62 143
139/06902 89,169 144
110/05458 83,124 145
114/05652 1,35 146
152/07589 120,167 147
163/08126 44,86 148
004/00151 66,107 149
263/13146 40,81 150
224/11197 103,150 151
174/08699 32,70 152
108/05359 1,44 153
134/06658 1,49 154
041/02009 16,36 155
261/13022 1,78 156
271/13526 1,44 157
226/11292 1,37 158
235/11723 41,74 159
201/10036 114,178 160
134/06659 1,46 161
038/01884 63,117 162
108/05354 1,30 163
205/10212 22,50 164
222/11054 1,16 165
222/11052 1,49 166
224/11196 85,124 167
235/11726 1,50 168
108/05355 1,30 169
152/07589 84,119 170
084/04197 117,149 171
125/06218 102,165 172
174/08699 130,159 173
271/13501 1,33 174
205/10215 66,107 175
253/12601 1,39 176
029/01427 44,89 177
108/05356 1,34 178
226/11299 1,49 179
161/08019 64,111 180
107/05338 50,75 181
134/06652 1,41 182
040/01957 1,53 183
152/07589 219,270 184
276/13764 1,105 185
157/07846 44,82 186
224/11196 45,84 187
222/11055 40,75 188
201/10039 1,34 189
152/07588 36,118 190
110/05458 32,58 191
274/13663 1,27 192
108/05359 94,138 193
110/05455 44,88 194
201/10030 1,39 195
208/10382 30,56 196
112/05565 31,59 197
017/00812 1,30 198
107/05336 1,106 199
110/05455 130,181 200
249/12424 1,39 201
172/08583 143,196 202
259/12947 1,36 203
174/08686 1,64 204
152/07588 1,35 205
017/00817 1,36 206
041/02008 1,25 207
282/14061 1,21 208
157/07846 1,43 209
172/08581 1,34 210
274/13690 46,111 211
235/11722 1,43 212
259/12942 1,61 213
253/12638 53,90 214
253/12609 1,43 215
224/11194 1,93 216
281/14047 1,41 217
108/05357 1,23 218
004/00158 1,58 219
205/10210 1,45 220
235/11723 151,186 221
003/00119 41,71 222
110/05455 1,43 223
241/12034 95,133 224
038/01882 1,30 225
205/10211 45,75 226
024/01157 94,175 227
263/13141 31,70 228
134/06655 1,61 229
050/02451 1,41 230
038/01881 1,73 231
281/14040 1,46 232
110/05452 1,33 233
084/04190 40,75 234
017/00812 60,98 235
178/08874 50,74 236
224/11199 1,52 237
041/02009 1,15 238
110/05457 1,56 239
253/12650 1,44 240
110/05454 1,36 241
069/03404 146,187 242
038/01888 1,72 243
041/02004 1,113 244
101/05010 48,86 245
263/13145 1,46 246
274/13663 28,50 247
218/10888 1,33 248
152/07580 1,58 249
